# Dec (deg)	HA (hours)	Track len (sec)	Azimuth Angle (rad)
-75.2500000000	1.0000000000	1011.6160945892	3.2505452905
-75.2500000000	1.2000000000	301.6160945892	3.2592435176
-75.0000000000	-1.4000000000	10123.0876688957	3.1423091411
-75.0000000000	-1.3994524189	10113.0876688957	3.1422530915
-75.0000000000	-1.3989048379	10113.0876688957	3.1423270466
-75.0000000000	-1.3983572568	10103.0876688957	3.1422697484
-75.0000000000	-1.3978096758	10103.0876688957	3.1423423428
-75.0000000000	-1.3972620947	10103.0876688957	3.1424141581
-75.0000000000	-1.2000000000	9403.0876688957	3.1517770735
-75.0000000000	-1.0000000000	8683.0876688957	3.1614584584
-75.0000000000	-0.8000000000	7973.0876688957	3.1714375752
-75.0000000000	-0.6000000000	7253.0876688957	3.1814042561
-75.0000000000	-0.4000000000	6533.0876688957	3.1914380846
-75.0000000000	-0.2000000000	5823.0876688957	3.2016173368
-75.0000000000	0.0000000000	5103.0876688957	3.2116279288
-75.0000000000	0.2000000000	4383.0876688957	3.2215478024
-75.0000000000	0.4000000000	3673.0876688957	3.2314559522
-75.0000000000	0.6000000000	2953.0876688957	3.2410413971
-75.0000000000	0.8000000000	2233.0876688957	3.2503874483
-75.0000000000	1.0000000000	1513.0876688957	3.2594499740
-75.0000000000	1.2000000000	803.0876688957	3.2683191027
-75.0000000000	1.4000000000	83.0876688957	3.2766972291
-74.7500000000	-1.5331508101	11037.0979137421	3.1417789213
-74.7500000000	-1.5326032290	11037.0979137421	3.1418525606
-74.7500000000	-1.5320556479	11027.0979137421	3.1417947706
-74.7500000000	-1.5315080557	11027.0979137421	3.1418670791
-74.7500000000	-1.5309604746	11017.0979137421	3.1418078280
-74.7500000000	-1.4000000000	10557.0979137421	3.1480499609
-74.7500000000	-1.2000000000	9847.0979137421	3.1578414756
-74.7500000000	-1.0000000000	9127.0979137421	3.1677230085
-74.7500000000	-0.8000000000	8407.0979137421	3.1777775992
-74.7500000000	-0.6000000000	7697.0979137421	3.1880855007
-74.7500000000	-0.4000000000	6977.0979137421	3.1983323911
-74.7500000000	-0.2000000000	6257.0979137421	3.2085949325
-74.7500000000	0.0000000000	5547.0979137421	3.2189492026
-74.7500000000	0.2000000000	4827.0979137421	3.2290791160
-74.7500000000	0.4000000000	4107.0979137421	3.2390620762
-74.7500000000	0.6000000000	3397.0979137421	3.2489774077
-74.7500000000	0.8000000000	2677.0979137421	3.2585147069
-74.7500000000	1.0000000000	1957.0979137421	3.2677592594
-74.7500000000	1.2000000000	1237.0979137421	3.2766694245
-74.7500000000	1.4000000000	527.0979137421	3.2853386332
-74.5000000000	-1.6328770139	11793.9454584122	3.1423319750
-74.5000000000	-1.6323294329	11783.9454584122	3.1422738027
-74.5000000000	-1.6317818518	11783.9454584122	3.1423458676
-74.5000000000	-1.6312342708	11773.9454584122	3.1422862518
-74.5000000000	-1.6306866897	11773.9454584122	3.1423567780
-74.5000000000	-1.6000000000	11673.9454584122	3.1438380394
-74.5000000000	-1.4000000000	10953.9454584122	3.1534188609
-74.5000000000	-1.2000000000	10243.9454584122	3.1634046727
-74.5000000000	-1.0000000000	9523.9454584122	3.1734879526
-74.5000000000	-0.8000000000	8803.9454584122	3.1837504107
-74.5000000000	-0.6000000000	8093.9454584122	3.1942708016
-74.5000000000	-0.4000000000	7373.9454584122	3.2047327875
-74.5000000000	-0.2000000000	6653.9454584122	3.2152113036
-74.5000000000	0.0000000000	5943.9454584122	3.2257806543
-74.5000000000	0.2000000000	5223.9454584122	3.2361226105
-74.5000000000	0.4000000000	4503.9454584122	3.2463128646
-74.5000000000	0.6000000000	3783.9454584122	3.2562982102
-74.5000000000	0.8000000000	3073.9454584122	3.2661591921
-74.5000000000	1.0000000000	2353.9454584122	3.2755870433
-74.5000000000	1.2000000000	1633.9454584122	3.2846698574
-74.5000000000	1.4000000000	913.9454584122	3.2933692993
-74.5000000000	1.6000000000	203.9454584122	3.3017827586
-74.2500000000	-1.7331508101	12223.9207534790	3.1385012792
-74.2500000000	-1.7326032290	12223.9207534790	3.1385744125
-74.2500000000	-1.7320556479	12223.9207534790	3.1386468691
-74.2500000000	-1.7315080557	12223.9207534790	3.1387185926
-74.2500000000	-1.7309604746	12223.9207534790	3.1387895272
-74.2500000000	-1.6000000000	12033.9207534790	3.1486368341
-74.2500000000	-1.4000000000	11313.9207534790	3.1584041328
-74.2500000000	-1.2000000000	10603.9207534790	3.1685855853
-74.2500000000	-1.0000000000	9883.9207534790	3.1788722373
-74.2500000000	-0.8000000000	9163.9207534790	3.1893443822
-74.2500000000	-0.6000000000	8453.9207534790	3.2000791782
-74.2500000000	-0.4000000000	7733.9207534790	3.2107583331
-74.2500000000	-0.2000000000	7013.9207534790	3.2214549424
-74.2500000000	0.0000000000	6303.9207534790	3.2322414255
-74.2500000000	0.2000000000	5583.9207534790	3.2427974613
-74.2500000000	0.4000000000	4863.9207534790	3.2531969219
-74.2500000000	0.6000000000	4143.9207534790	3.2633848221
-74.2500000000	0.8000000000	3433.9207534790	3.2734401562
-74.2500000000	1.0000000000	2713.9207534790	3.2830525835
-74.2500000000	1.2000000000	1993.9207534790	3.2923090571
-74.2500000000	1.4000000000	1273.9207534790	3.3011702648
-74.2500000000	1.6000000000	563.9207534790	3.3097329324
-74.0000000000	-1.8328770139	12047.3062210083	3.1263820131
-74.0000000000	-1.8323294329	12047.3062210083	3.1264562744
-74.0000000000	-1.8317818518	12047.3062210083	3.1265298418
-74.0000000000	-1.8312342708	12047.3062210083	3.1266026584
-74.0000000000	-1.8306866897	12047.3062210083	3.1266746696
-74.0000000000	-1.8000000000	12037.3062210083	3.1294110886
-74.0000000000	-1.6000000000	12027.3062210083	3.1486768004
-74.0000000000	-1.4000000000	11647.3062210083	3.1631281899
-74.0000000000	-1.2000000000	10927.3062210083	3.1733756210
-74.0000000000	-1.0000000000	10217.3062210083	3.1839983189
-74.0000000000	-0.8000000000	9497.3062210083	3.1946820093
-74.0000000000	-0.6000000000	8777.3062210083	3.2055021401
-74.0000000000	-0.4000000000	8057.3062210083	3.2164005592
-74.0000000000	-0.2000000000	7347.3062210083	3.2274484632
-74.0000000000	0.0000000000	6627.3062210083	3.2383231534
-74.0000000000	0.2000000000	5907.3062210083	3.2490953271
-74.0000000000	0.4000000000	5197.3062210083	3.2598369716
-74.0000000000	0.6000000000	4477.3062210083	3.2702291966
-74.0000000000	0.8000000000	3757.3062210083	3.2803493434
-74.0000000000	1.0000000000	3037.3062210083	3.2901476206
-74.0000000000	1.2000000000	2327.3062210083	3.2997098038
-74.0000000000	1.4000000000	1607.3062210083	3.3087335077
-74.0000000000	1.6000000000	887.3062210083	3.3173147410
-74.0000000000	1.8000000000	167.3062210083	3.3254238946
-73.7500000000	-1.8997262039	11884.3764076233	3.1171607867
-73.7500000000	-1.8991786228	11884.3764076233	3.1172366437
-73.7500000000	-1.8986310418	11884.3764076233	3.1173118358
-73.7500000000	-1.8980834607	11884.3764076233	3.1173863054
-73.7500000000	-1.8975358797	11884.3764076233	3.1174599951
-73.7500000000	-1.8000000000	11854.3764076233	3.1265954350
-73.7500000000	-1.6000000000	11844.3764076233	3.1463055792
-73.7500000000	-1.4000000000	11884.3764076233	3.1666658259
-73.7500000000	-1.2000000000	11234.3764076233	3.1780305689
-73.7500000000	-1.0000000000	10514.3764076233	3.1887289322
-73.7500000000	-0.8000000000	9804.3764076233	3.1997570519
-73.7500000000	-0.6000000000	9084.3764076233	3.2107955716
-73.7500000000	-0.4000000000	8364.3764076233	3.2219154253
-73.7500000000	-0.2000000000	7644.3764076233	3.2330547260
-73.7500000000	0.0000000000	6934.3764076233	3.2442818360
-73.7500000000	0.2000000000	6214.3764076233	3.2552722754
-73.7500000000	0.4000000000	5494.3764076233	3.2660960008
-73.7500000000	0.6000000000	4784.3764076233	3.2768253500
-73.7500000000	0.8000000000	4064.3764076233	3.2871428814
-73.7500000000	1.0000000000	3344.3764076233	3.2971283201
-73.7500000000	1.2000000000	2624.3764076233	3.3067351364
-73.7500000000	1.4000000000	1914.3764076233	3.3160530691
-73.7500000000	1.6000000000	1194.3764076233	3.3247843040
-73.7500000000	1.8000000000	474.3764076233	3.3330297674
-73.5000000000	-2.0000000000	11745.3981337547	3.1045446895
-73.5000000000	-1.9994524189	11745.3981337547	3.1046221012
-73.5000000000	-1.9989048379	11745.3981337547	3.1046988903
-73.5000000000	-1.9983572568	11745.3981337547	3.1047749968
-73.5000000000	-1.9978096758	11745.3981337547	3.1048503626
-73.5000000000	-1.9972620947	11745.3981337547	3.1049249316
