# Dec (deg)	HA (hours)	Track len (sec)	Azimuth Angle (rad)
-62.0000000000	2.0000000000	5098.1595897675	3.6468458416
-62.0000000000	2.2000000000	4378.1595897675	3.6580631450
-62.0000000000	2.4000000000	3658.1595897675	3.6678511413
-62.0000000000	2.6000000000	2938.1595897675	3.6762818641
-62.0000000000	2.8000000000	2228.1595897675	3.6835408386
-62.0000000000	3.0000000000	1508.1595897675	3.6894877390
-62.0000000000	3.2000000000	788.1595897675	3.6943089313
-62.0000000000	3.4000000000	68.1595897675	3.6980799817
-61.7500000000	-3.4000000000	8974.0033349991	2.7203044942
-61.7500000000	-3.3994524189	8974.0033349991	2.7204134826
-61.7500000000	-3.3989048379	8974.0033349991	2.7205223584
-61.7500000000	-3.3983572568	8974.0033349991	2.7206310362
-61.7500000000	-3.2000000000	8254.0033349991	2.7287044859
-61.7500000000	-3.0000000000	7534.0033349991	2.7383063044
-61.7500000000	-2.8000000000	6824.0033349991	2.7494580873
-61.7500000000	-2.6000000000	6104.0033349991	2.7616430188
-61.7500000000	-2.4000000000	5384.0033349991	2.7752018177
-61.7500000000	-2.2000000000	4664.0033349991	2.7901776615
-61.7500000000	-2.0000000000	3944.0033349991	2.8065987609
-61.7500000000	-1.8000000000	3224.0033349991	2.8244725417
-61.7500000000	-1.6000000000	2504.0033349991	2.8437793633
-61.7500000000	-1.4000000000	1794.0033349991	2.8647537124
-61.7500000000	-1.2000000000	1074.0033349991	2.8867282636
-61.7500000000	-1.0000000000	354.0033349991	2.9098548363
-61.7500000000	0.9336983911	8964.0033349991	3.5667009226
-61.7500000000	0.9342459722	8964.0033349991	3.5667998178
-61.7500000000	0.9347935532	8954.0033349991	3.5667893035
-61.7500000000	0.9353411343	8954.0033349991	3.5668858689
-61.7500000000	0.9358887153	8954.0033349991	3.5669811607
-61.7500000000	1.0000000000	8724.0033349991	3.5733610795
-61.7500000000	1.2000000000	8004.0033349991	3.5925195349
-61.7500000000	1.4000000000	7294.0033349991	3.6102029297
-61.7500000000	1.6000000000	6574.0033349991	3.6261646317
-61.7500000000	1.8000000000	5854.0033349991	3.6405186727
-61.7500000000	2.0000000000	5134.0033349991	3.6532987977
-61.7500000000	2.2000000000	4424.0033349991	3.6646673586
-61.7500000000	2.4000000000	3704.0033349991	3.6744755304
-61.7500000000	2.6000000000	2984.0033349991	3.6829073781
-61.7500000000	2.8000000000	2264.0033349991	3.6900427011
-61.7500000000	3.0000000000	1544.0033349991	3.6959622841
-61.7500000000	3.2000000000	834.0033349991	3.7008542529
-61.7500000000	3.4000000000	114.0033349991	3.7045796943
-61.5000000000	-3.4328770139	8810.0334048271	2.7056616378
-61.5000000000	-3.4323294329	8810.0334048271	2.7057693249
-61.5000000000	-3.4317818518	8810.0334048271	2.7058768575
-61.5000000000	-3.4000000000	8690.0334048271	2.7068603777
-61.5000000000	-3.2000000000	7970.0334048271	2.7152746897
-61.5000000000	-3.0000000000	7250.0334048271	2.7249052347
-61.5000000000	-2.8000000000	6530.0334048271	2.7358152359
-61.5000000000	-2.6000000000	5820.0334048271	2.7483490236
-61.5000000000	-2.4000000000	5100.0334048271	2.7619973524
-61.5000000000	-2.2000000000	4380.0334048271	2.7770896451
-61.5000000000	-2.0000000000	3660.0334048271	2.7936575073
-61.5000000000	-1.8000000000	2940.0334048271	2.8117114836
-61.5000000000	-1.6000000000	2220.0334048271	2.8312344665
-61.5000000000	-1.4000000000	1510.0334048271	2.8524576644
-61.5000000000	-1.2000000000	790.0334048271	2.8747236437
-61.5000000000	-1.0000000000	70.0334048271	2.8981778002
-61.5000000000	1.0000000000	8760.0334048271	3.5791572942
-61.5000000000	1.0005475811	8760.0334048271	3.5792561299
-61.5000000000	1.0010951621	8760.0334048271	3.5793538276
-61.5000000000	1.0016427432	8760.0334048271	3.5794503284
-61.5000000000	1.0021903242	8760.0334048271	3.5795455770
-61.5000000000	1.0027379053	8750.0334048271	3.5795321007
-61.5000000000	1.2000000000	8050.0334048271	3.5986398904
-61.5000000000	1.4000000000	7330.0334048271	3.6163894314
-61.5000000000	1.6000000000	6610.0334048271	3.6324859332
-61.5000000000	1.8000000000	5890.0334048271	3.6469389072
-61.5000000000	2.0000000000	5180.0334048271	3.6598938897
-61.5000000000	2.2000000000	4460.0334048271	3.6711944009
-61.5000000000	2.4000000000	3740.0334048271	3.6810198499
-61.5000000000	2.6000000000	3020.0334048271	3.6894499836
-61.5000000000	2.8000000000	2310.0334048271	3.6966755626
-61.5000000000	3.0000000000	1590.0334048271	3.7025654140
-61.5000000000	3.2000000000	870.0334048271	3.7073093207
-61.5000000000	3.4000000000	150.0334048271	3.7109870747
-61.2500000000	-3.4328770139	8556.2869591713	2.6930648832
-61.2500000000	-3.4323294329	8546.2869591713	2.6928937367
-61.2500000000	-3.4317818518	8546.2869591713	2.6930006432
-61.2500000000	-3.4000000000	8436.2869591713	2.6942650051
-61.2500000000	-3.2000000000	7716.2869591713	2.7026917272
-61.2500000000	-3.0000000000	6996.2869591713	2.7123490080
-61.2500000000	-2.8000000000	6276.2869591713	2.7233028532
-61.2500000000	-2.6000000000	5556.2869591713	2.7356179619
-61.2500000000	-2.4000000000	4836.2869591713	2.7493540508
-61.2500000000	-2.2000000000	4126.2869591713	2.7648393353
-61.2500000000	-2.0000000000	3406.2869591713	2.7815527893
-61.2500000000	-1.8000000000	2686.2869591713	2.7997863563
-61.2500000000	-1.6000000000	1966.2869591713	2.8195256330
-61.2500000000	-1.4000000000	1246.2869591713	2.8407208923
-61.2500000000	-1.2000000000	526.2869591713	2.8632804560
-61.2500000000	1.0668491899	8566.2869591713	3.5918478429
-61.2500000000	1.0673967710	8556.2869591713	3.5918386728
-61.2500000000	1.0679443521	8556.2869591713	3.5919350343
-61.2500000000	1.0684919443	8556.2869591713	3.5920301674
-61.2500000000	1.0690395254	8556.2869591713	3.5921240156
-61.2500000000	1.2000000000	8086.2869591713	3.6046943227
-61.2500000000	1.4000000000	7366.2869591713	3.6226173936
-61.2500000000	1.6000000000	6646.2869591713	3.6388469974
-61.2500000000	1.8000000000	5936.2869591713	3.6535032983
-61.2500000000	2.0000000000	5216.2869591713	3.6664154866
-61.2500000000	2.2000000000	4496.2869591713	3.6777533063
-61.2500000000	2.4000000000	3776.2869591713	3.6875931210
-61.2500000000	2.6000000000	3066.2869591713	3.6961253831
-61.2500000000	2.8000000000	2346.2869591713	3.7032235841
-61.2500000000	3.0000000000	1626.2869591713	3.7090811599
-61.2500000000	3.2000000000	906.2869591713	3.7137830018
-61.2500000000	3.4000000000	186.2869591713	3.7174110292
-61.0000000000	-3.4328770139	8312.7988638878	2.6807488049
-61.0000000000	-3.4323294329	8312.7988638878	2.6808551962
-61.0000000000	-3.4317818518	8312.7988638878	2.6809615019
-61.0000000000	-3.4000000000	8192.7988638878	2.6819500831
-61.0000000000	-3.2000000000	7482.7988638878	2.6906609379
-61.0000000000	-3.0000000000	6762.7988638878	2.7003429608
-61.0000000000	-2.8000000000	6042.7988638878	2.7113386217
-61.0000000000	-2.6000000000	5322.7988638878	2.7237158144
-61.0000000000	-2.4000000000	4602.7988638878	2.7375377440
-61.0000000000	-2.2000000000	3882.7988638878	2.7528582492
-61.0000000000	-2.0000000000	3172.7988638878	2.7699896511
-61.0000000000	-1.8000000000	2452.7988638878	2.7884021720
-61.0000000000	-1.6000000000	1732.7988638878	2.8083578576
-61.0000000000	-1.4000000000	1012.7988638878	2.8298088924
-61.0000000000	-1.2000000000	292.7988638878	2.8526640838
-61.0000000000	1.1336983911	8362.7988638878	3.6044412270
-61.0000000000	1.1342459722	8362.7988638878	3.6045372668
-61.0000000000	1.1347935532	8352.7988638878	3.6045263172
-61.0000000000	1.1353411343	8352.7988638878	3.6046199456
-61.0000000000	1.1358887153	8352.7988638878	3.6047122593
-61.0000000000	1.2000000000	8122.7988638878	3.6107915466
-61.0000000000	1.4000000000	7402.7988638878	3.6288872088
-61.0000000000	1.6000000000	6682.7988638878	3.6452481221
-61.0000000000	1.8000000000	5972.7988638878	3.6599978478
-61.0000000000	2.0000000000	5252.7988638878	3.6729719286
-61.0000000000	2.2000000000	4532.7988638878	3.6843441049
-61.0000000000	2.4000000000	3812.7988638878	3.6941953078
-61.0000000000	2.6000000000	3102.7988638878	3.7027193151
-61.0000000000	2.8000000000	2382.7988638878	3.7097948554
-61.0000000000	3.0000000000	1662.7988638878	3.7156176355
-61.0000000000	3.2000000000	942.7988638878	3.7202751249
-61.0000000000	3.4000000000	222.7988638878	3.7238513781
-60.7500000000	-3.4663016089	8219.6017651558	2.6679796230
-60.7500000000	-3.4657540278	8219.6017651558	2.6680847771
-60.7500000000	-3.4652064468	8209.6017651558	2.6679207010
-60.7500000000	-3.4000000000	7979.6017651558	2.6704571565
-60.7500000000	-3.2000000000	7259.6017651558	2.6789030054
-60.7500000000	-3.0000000000	6539.6017651558	2.6886077958
-60.7500000000	-2.8000000000	5819.6017651558	2.6996432512
-60.7500000000	-2.6000000000	5109.6017651558	2.7123495893
-60.7500000000	-2.4000000000	4389.6017651558	2.7262554214
-60.7500000000	-2.2000000000	3669.6017651558	2.7416875079
-60.7500000000	-2.0000000000	2949.6017651558	2.7586885146
-60.7500000000	-1.8000000000	2229.6017651558	2.7772793387
-60.7500000000	-1.6000000000	1509.6017651558	2.7974515380
-60.7500000000	-1.4000000000	799.6017651558	2.8194283516
-60.7500000000	-1.2000000000	79.6017651558	2.8425812424
-60.7500000000	1.2000000000	8159.6017651558	3.6169320033
-60.7500000000	1.2005475811	8159.6017651558	3.6170276486
-60.7500000000	1.2010951621	8149.6017651558	3.6170171323
-60.7500000000	1.2016427432	8149.6017651558	3.6171104187
-60.7500000000	1.2021903242	8149.6017651558	3.6172024132
-60.7500000000	1.2027379053	8149.6017651558	3.6172930636
-60.7500000000	1.4000000000	7439.6017651558	3.6351992310
-60.7500000000	1.6000000000	6719.6017651558	3.6516895627
-60.7500000000	1.8000000000	6009.6017651558	3.6665301713
-60.7500000000	2.0000000000	5289.6017651558	3.6795632796
-60.7500000000	2.2000000000	4569.6017651558	3.6909667801
-60.7500000000	2.4000000000	3849.6017651558	3.7008263266
-60.7500000000	2.6000000000	3129.6017651558	3.7092340738
-60.7500000000	2.8000000000	2419.6017651558	3.7163892027
-60.7500000000	3.0000000000	1699.6017651558	3.7221746404
-60.7500000000	3.2000000000	979.6017651558	3.7267854726
-60.7500000000	3.4000000000	259.6017651558	3.7303078943
-60.5000000000	-3.4663016089	8016.7261595726	2.6567536464
-60.5000000000	-3.4657540278	8016.7261595726	2.6568581177
-60.5000000000	-3.4652064468	8006.7261595726	2.6566977749
-60.5000000000	-3.4000000000	7776.7261595726	2.6592311903
-60.5000000000	-3.2000000000	7056.7261595726	2.6676836765
-60.5000000000	-3.0000000000	6336.7261595726	2.6774091453
-60.5000000000	-2.8000000000	5616.7261595726	2.6884822560
-60.5000000000	-2.6000000000	4906.7261595726	2.7012421652
-60.5000000000	-2.4000000000	4186.7261595726	2.7152299581
-60.5000000000	-2.2000000000	3466.7261595726	2.7307719238
-60.5000000000	-2.0000000000	2746.7261595726	2.7479147161
-60.5000000000	-1.8000000000	2026.7261595726	2.7666830343
-60.5000000000	-1.6000000000	1306.7261595726	2.7870717013
-60.5000000000	-1.4000000000	596.7261595726	2.8093018483
-60.5000000000	1.2668491899	7956.7261595726	3.6294958669
-60.5000000000	1.2673967710	7946.7261595726	3.6294857061
-60.5000000000	1.2679443521	7946.7261595726	3.6295785302
-60.5000000000	1.2684919443	7946.7261595726	3.6296700881
-60.5000000000	1.2690395254	7946.7261595726	3.6297603234
-60.5000000000	1.4000000000	7476.7261595726	3.6415537777
-60.5000000000	1.6000000000	6756.7261595726	3.6581715353
-60.5000000000	1.8000000000	6036.7261595726	3.6729962530
-60.5000000000	2.0000000000	5326.7261595726	3.6861895581
-60.5000000000	2.2000000000	4606.7261595726	3.6976212687
-60.5000000000	2.4000000000	3886.7261595726	3.7074860476
-60.5000000000	2.6000000000	3166.7261595726	3.7158804115
-60.5000000000	2.8000000000	2446.7261595726	3.7229022374
-60.5000000000	3.0000000000	1736.7261595726	3.7287519279
-60.5000000000	3.2000000000	1016.7261595726	3.7333137822
-60.5000000000	3.4000000000	296.7261595726	3.7367803071
-60.2500000000	-3.4663016089	7824.2004632950	2.6457944545
-60.2500000000	-3.4657540278	7824.2004632950	2.6458982096
-60.2500000000	-3.4652064468	7824.2004632950	2.6460019748
-60.2500000000	-3.4000000000	7584.2004632950	2.6482714102
-60.2500000000	-3.2000000000	6864.2004632950	2.6567285820
-60.2500000000	-3.0000000000	6154.2004632950	2.6667330448
-60.2500000000	-2.8000000000	5434.2004632950	2.6778416111
-60.2500000000	-2.6000000000	4714.2004632950	2.6903926392
-60.2500000000	-2.4000000000	3994.2004632950	2.7044603837
-60.2500000000	-2.2000000000	3274.2004632950	2.7201104501
-60.2500000000	-2.0000000000	2554.2004632950	2.7373936363
-60.2500000000	-1.8000000000	1844.2004632950	2.7565989028
-60.2500000000	-1.6000000000	1124.2004632950	2.7772039072
-60.2500000000	-1.4000000000	404.2004632950	2.7994280832
-60.2500000000	1.3002737961	7864.2004632950	3.6388249181
-60.2500000000	1.3008213772	7864.2004632950	3.6389181738
-60.2500000000	1.3013689582	7864.2004632950	3.6390101988
-60.2500000000	1.3019165393	7864.2004632950	3.6391009358
-60.2500000000	1.3024641203	7854.2004632950	3.6390870767
-60.2500000000	1.4000000000	7504.2004632950	3.6478478282
-60.2500000000	1.6000000000	6794.2004632950	3.6646942143
-60.2500000000	1.8000000000	6074.2004632950	3.6796053668
-60.2500000000	2.0000000000	5354.2004632950	3.6927475023
-60.2500000000	2.2000000000	4634.2004632950	3.7042041719
-60.2500000000	2.4000000000	3924.2004632950	3.7141742943
-60.2500000000	2.6000000000	3204.2004632950	3.7225522274
-60.2500000000	2.8000000000	2484.2004632950	3.7295429765
-60.2500000000	3.0000000000	1764.2004632950	3.7352459321
-60.2500000000	3.2000000000	1044.2004632950	3.7397564197
-60.2500000000	3.4000000000	334.2004632950	3.7432683015
-60.0000000000	-3.4663016089	7642.0510811806	2.6350998608
-60.0000000000	-3.4657540278	7642.0510811806	2.6352028770
-60.0000000000	-3.4652064468	7642.0510811806	2.6353059314
-60.0000000000	-3.4000000000	7412.0510811806	2.6378317257
-60.0000000000	-3.2000000000	6692.0510811806	2.6462915265
-60.0000000000	-3.0000000000	5972.0510811806	2.6560520520
-60.0000000000	-2.8000000000	5252.0510811806	2.6671939751
-60.0000000000	-2.6000000000	4532.0510811806	2.6797986809
-60.0000000000	-2.4000000000	3812.0510811806	2.6939442999
-60.0000000000	-2.2000000000	3102.0510811806	2.7099566280
-60.0000000000	-2.0000000000	2382.0510811806	2.7273786520
-60.0000000000	-1.8000000000	1662.0510811806	2.7464993245
-60.0000000000	-1.6000000000	942.0510811806	2.7673206164
-60.0000000000	-1.4000000000	222.0510811806	2.7898043171
-60.0000000000	1.3671229861	7662.0510811806	3.6513701350
-60.0000000000	1.3676705671	7652.0510811806	3.6513590836
-60.0000000000	1.3682181482	7652.0510811806	3.6514492537
-60.0000000000	1.3687657292	7652.0510811806	3.6515381071
-60.0000000000	1.3693133103	7652.0510811806	3.6516255913
-60.0000000000	1.4000000000	7542.0510811806	3.6542892223
-60.0000000000	1.6000000000	6822.0510811806	3.6711553740
-60.0000000000	1.8000000000	6102.0510811806	3.6861500949
-60.0000000000	2.0000000000	5392.0510811806	3.6994445066
-60.0000000000	2.2000000000	4672.0510811806	3.7109229080
-60.0000000000	2.4000000000	3952.0510811806	3.7207884948
-60.0000000000	2.6000000000	3232.0510811806	3.7291468452
-60.0000000000	2.8000000000	2512.0510811806	3.7361035835
-60.0000000000	3.0000000000	1802.0510811806	3.7418638589
-60.0000000000	3.2000000000	1082.0510811806	3.7463206806
-60.0000000000	3.4000000000	362.0510811806	3.7496691337
-59.7500000000	-3.4997262039	7600.3024735451	2.6236805064
-59.7500000000	-3.4991786228	7600.3024735451	2.6237822227
-59.7500000000	-3.4986310418	7590.3024735451	2.6236320352
-59.7500000000	-3.4000000000	7240.3024735451	2.6273921402
-59.7500000000	-3.2000000000	6520.3024735451	2.6358526334
-59.7500000000	-3.0000000000	5800.3024735451	2.6456275364
-59.7500000000	-2.8000000000	5080.3024735451	2.6568005992
-59.7500000000	-2.6000000000	4370.3024735451	2.6697085623
-59.7500000000	-2.4000000000	3650.3024735451	2.6839298295
-59.7500000000	-2.2000000000	2930.3024735451	2.6997903714
-59.7500000000	-2.0000000000	2210.3024735451	2.7173497526
-59.7500000000	-1.8000000000	1490.3024735451	2.7366451953
-59.7500000000	-1.6000000000	780.3024735451	2.7579343386
-59.7500000000	-1.4000000000	60.3024735451	2.7806782786
-59.7500000000	1.4000000000	7570.3024735451	3.6606724237
-59.7500000000	1.4005475811	7570.3024735451	3.6607641462
-59.7500000000	1.4010951621	7570.3024735451	3.6608546460
-59.7500000000	1.4016427432	7560.3024735451	3.6608423013
-59.7500000000	1.4021903242	7560.3024735451	3.6609302386
-59.7500000000	1.4027379053	7560.3024735451	3.6610167877
-59.7500000000	1.6000000000	6850.3024735451	3.6776593222
-59.7500000000	1.8000000000	6140.3024735451	3.6928362965
-59.7500000000	2.0000000000	5420.3024735451	3.7060748423
-59.7500000000	2.2000000000	4700.3024735451	3.7175715561
-59.7500000000	2.4000000000	3980.3024735451	3.7274325821
-59.7500000000	2.6000000000	3270.3024735451	3.7358697927
-59.7500000000	2.8000000000	2550.3024735451	3.7427896564
-59.7500000000	3.0000000000	1830.3024735451	3.7483996365
-59.7500000000	3.2000000000	1110.3024735451	3.7528003747
-59.7500000000	3.4000000000	390.3024735451	3.7560866389
-59.5000000000	-3.4997262039	7438.9772214890	2.6135017073
-59.5000000000	-3.4991786228	7438.9772214890	2.6136026658
-59.5000000000	-3.4986310418	7438.9772214890	2.6137037196
-59.5000000000	-3.4000000000	7078.9772214890	2.6172088156
-59.5000000000	-3.2000000000	6358.9772214890	2.6256679646
-59.5000000000	-3.0000000000	5648.9772214890	2.6357027635
-59.5000000000	-2.8000000000	4928.9772214890	2.6469046212
-59.5000000000	-2.6000000000	4208.9772214890	2.6596098557
-59.5000000000	-2.4000000000	3488.9772214890	2.6739046378
-59.5000000000	-2.2000000000	2768.9772214890	2.6898674794
-59.5000000000	-2.0000000000	2048.9772214890	2.7075625728
-59.5000000000	-1.8000000000	1338.9772214890	2.7272792781
-59.5000000000	-1.6000000000	618.9772214890	2.7485323499
-59.5000000000	1.4350673381	7478.9772214890	3.6703739222
-59.5000000000	1.4356149192	7468.9772214890	3.6703601719
-59.5000000000	1.4361625114	7468.9772214890	3.6704457241
-59.5000000000	1.4668491899	7358.9772214890	3.6730536908
-59.5000000000	1.4673967710	7358.9772214890	3.6731434198
-59.5000000000	1.4679443521	7358.9772214890	3.6732318973
-59.5000000000	1.6000000000	6888.9772214890	3.6843069530
-59.5000000000	1.8000000000	6168.9772214890	3.6994599849
-59.5000000000	2.0000000000	5448.9772214890	3.7127417253
-59.5000000000	2.2000000000	4728.9772214890	3.7242532993
-59.5000000000	2.4000000000	4008.9772214890	3.7341063818
-59.5000000000	2.6000000000	3298.9772214890	3.7425168029
-59.5000000000	2.8000000000	2578.9772214890	3.7493967845
-59.5000000000	3.0000000000	1858.9772214890	3.7549562541
-59.5000000000	3.2000000000	1138.9772214890	3.7592985291
-59.5000000000	3.4000000000	428.9772214890	3.7626212342
-59.2500000000	-3.4997262039	7288.0960931778	2.6035749852
-59.2500000000	-3.4991786228	7288.0960931778	2.6036751923
-59.2500000000	-3.4986310418	7288.0960931778	2.6037755188
-59.2500000000	-3.4000000000	6928.0960931778	2.6072765957
-59.2500000000	-3.2000000000	6208.0960931778	2.6157323376
-59.2500000000	-3.0000000000	5498.0960931778	2.6257729747
-59.2500000000	-2.8000000000	4778.0960931778	2.6370013997
-59.2500000000	-2.6000000000	4058.0960931778	2.6497534524
-59.2500000000	-2.4000000000	3338.0960931778	2.6641194695
-59.2500000000	-2.2000000000	2618.0960931778	2.6801825213
-59.2500000000	-2.0000000000	1898.0960931778	2.6980115949
-59.2500000000	-1.8000000000	1188.0960931778	2.7178966527
-59.2500000000	-1.6000000000	468.0960931778	2.7393651329
-59.2500000000	1.5002737961	7268.0960931778	3.6824842265
-59.2500000000	1.5008213772	7268.0960931778	3.6825729541
-59.2500000000	1.5013689582	7268.0960931778	3.6826604097
-59.2500000000	1.5019165393	7268.0960931778	3.6827465363
-59.2500000000	1.5024641203	7258.0960931778	3.6827315268
-59.2500000000	1.6000000000	6918.0960931778	3.6908961295
-59.2500000000	1.8000000000	6198.0960931778	3.7061236195
-59.2500000000	2.0000000000	5478.0960931778	3.7194450958
-59.2500000000	2.2000000000	4758.0960931778	3.7309679914
-59.2500000000	2.4000000000	4038.0960931778	3.7408096793
-59.2500000000	2.6000000000	3328.0960931778	3.7491900115
-59.2500000000	2.8000000000	2608.0960931778	3.7560271214
-59.2500000000	3.0000000000	1888.0960931778	3.7615333869
-59.2500000000	3.2000000000	1168.0960931778	3.7658148067
-59.2500000000	3.4000000000	458.0960931778	3.7690702334
-59.0000000000	-3.4997262039	7147.6781053543	2.5938945956
-59.0000000000	-3.4991786228	7147.6781053543	2.5939940642
-59.0000000000	-3.4986310418	7137.6781053543	2.5938541448
-59.0000000000	-3.4000000000	6787.6781053543	2.5975897225
-59.0000000000	-3.2000000000	6067.6781053543	2.6060399693
-59.0000000000	-3.0000000000	5347.6781053543	2.6158448344
-59.0000000000	-2.8000000000	4627.6781053543	2.6270975610
-59.0000000000	-2.6000000000	3917.6781053543	2.6401334670
-59.0000000000	-2.4000000000	3197.6781053543	2.6545683713
-59.0000000000	-2.2000000000	2477.6781053543	2.6707294650
-59.0000000000	-2.0000000000	1757.6781053543	2.6886906982
-59.0000000000	-1.8000000000	1037.6781053543	2.7085036014
-59.0000000000	-1.6000000000	327.6781053543	2.7304264132
-59.0000000000	1.5336983911	7177.6781053543	3.6919408095
-59.0000000000	1.5342459722	7177.6781053543	3.6920284747
-59.0000000000	1.5347935532	7177.6781053543	3.6921148478
-59.0000000000	1.5353411343	7167.6781053543	3.6921010079
-59.0000000000	1.5358887153	7167.6781053543	3.6921846880
-59.0000000000	1.6000000000	6937.6781053543	3.6974296744
-59.0000000000	1.8000000000	6227.6781053543	3.7128272047
-59.0000000000	2.0000000000	5507.6781053543	3.7261848513
-59.0000000000	2.2000000000	4787.6781053543	3.7377154425
-59.0000000000	2.4000000000	4067.6781053543	3.7475422161
-59.0000000000	2.6000000000	3357.6781053543	3.7558891102
-59.0000000000	2.8000000000	2637.6781053543	3.7626803240
-59.0000000000	3.0000000000	1917.6781053543	3.7681306683
-59.0000000000	3.2000000000	1197.6781053543	3.7723488290
-59.0000000000	3.4000000000	477.6781053543	3.7754359537
-58.7500000000	-3.5331508101	7127.7405881882	2.5830256679
-58.7500000000	-3.5326032290	7127.7405881882	2.5831236938
-58.7500000000	-3.5320556479	7127.7405881882	2.5832218923
-58.7500000000	-3.4000000000	6647.7405881882	2.5879065691
-58.7500000000	-3.2000000000	5927.7405881882	2.5963492940
-58.7500000000	-3.0000000000	5217.7405881882	2.6063950031
-58.7500000000	-2.8000000000	4497.7405881882	2.6176695528
-58.7500000000	-2.6000000000	3777.7405881882	2.6305080875
-58.7500000000	-2.4000000000	3057.7405881882	2.6450095531
-58.7500000000	-2.2000000000	2337.7405881882	2.6612665292
-58.7500000000	-2.0000000000	1627.7405881882	2.6795933362
-58.7500000000	-1.8000000000	907.7405881882	2.6995761340
-58.7500000000	-1.6000000000	187.7405881882	2.7214740322
-58.7500000000	1.5671229861	7087.7405881882	3.7014187085
-58.7500000000	1.5676705671	7087.7405881882	3.7015052512
-58.7500000000	1.5682181482	7077.7405881882	3.7014925520
-58.7500000000	1.5687657292	7077.7405881882	3.7015764721
-58.7500000000	1.5693133103	7077.7405881882	3.7016589732
-58.7500000000	1.6000000000	6967.7405881882	3.7041063731
-58.7500000000	1.8000000000	6247.7405881882	3.7194727871
-58.7500000000	2.0000000000	5537.7405881882	3.7329608500
-58.7500000000	2.2000000000	4817.7405881882	3.7444954222
-58.7500000000	2.4000000000	4097.7405881882	3.7543036931
-58.7500000000	2.6000000000	3377.7405881882	3.7625158452
-58.7500000000	2.8000000000	2657.7405881882	3.7692580488
-58.7500000000	3.0000000000	1947.7405881882	3.7747476929
-58.7500000000	3.2000000000	1227.7405881882	3.7789001795
-58.7500000000	3.4000000000	507.7405881882	3.7819167195
-58.5000000000	-3.5331508101	6998.2992439270	2.5735949077
-58.5000000000	-3.5326032290	6998.2992439270	2.5736921518
-58.5000000000	-3.5320556479	6998.2992439270	2.5737895911
-58.5000000000	-3.4000000000	6518.2992439270	2.5784638225
-58.5000000000	-3.2000000000	5798.2992439270	2.5868968961
-58.5000000000	-3.0000000000	5088.2992439270	2.5969418216
-58.5000000000	-2.8000000000	4368.2992439270	2.6082358465
-58.5000000000	-2.6000000000	3648.2992439270	2.6211139368
-58.5000000000	-2.4000000000	2928.2992439270	2.6356794829
-58.5000000000	-2.2000000000	2208.2992439270	2.6520300176
-58.5000000000	-2.0000000000	1488.2992439270	2.6702499326
-58.5000000000	-1.8000000000	778.2992439270	2.6906324392
-58.5000000000	-1.6000000000	58.2992439270	2.7127441629
-58.5000000000	1.6000000000	6998.2992439270	3.7108264793
-58.5000000000	1.6005475811	6988.2992439270	3.7108161068
-58.5000000000	1.6010951621	6988.2992439270	3.7109015245
-58.5000000000	1.6016427432	6988.2992439270	3.7109856112
-58.5000000000	1.6021903242	6988.2992439270	3.7110683123
-58.5000000000	1.6027379053	6978.2992439270	3.7110525587
-58.5000000000	1.8000000000	6278.2992439270	3.7262571682
-58.5000000000	2.0000000000	5558.2992439270	3.7396759727
-58.5000000000	2.2000000000	4838.2992439270	3.7512106661
-58.5000000000	2.4000000000	4128.2992439270	3.7610937705
-58.5000000000	2.6000000000	3408.2992439270	3.7692666720
-58.5000000000	2.8000000000	2688.2992439270	3.7759568276
-58.5000000000	3.0000000000	1968.2992439270	3.7812870398
-58.5000000000	3.2000000000	1248.2992439270	3.7853713721
-58.5000000000	3.4000000000	538.2992439270	3.7884122513
-58.2500000000	-3.5331508101	6869.3682079315	2.5641714510
-58.2500000000	-3.5326032290	6869.3682079315	2.5642678574
-58.2500000000	-3.5320556479	6869.3682079315	2.5643644814
-58.2500000000	-3.4000000000	6399.3682079315	2.5692542746
-58.2500000000	-3.2000000000	5679.3682079315	2.5776755416
-58.2500000000	-3.0000000000	4959.3682079315	2.5874901850
-58.2500000000	-2.8000000000	4239.3682079315	2.5988013005
-58.2500000000	-2.6000000000	3519.3682079315	2.6117164802
-58.2500000000	-2.4000000000	2809.3682079315	2.6265707600
-58.2500000000	-2.2000000000	2089.3682079315	2.6430124442
-58.2500000000	-2.0000000000	1369.3682079315	2.6613586091
-58.2500000000	-1.8000000000	649.3682079315	2.6816770098
-58.2500000000	1.6334245950	6899.3682079315	3.7202377565
-58.2500000000	1.6339721760	6899.3682079315	3.7203232271
-58.2500000000	1.6345197571	6899.3682079315	3.7204074055
-58.2500000000	1.6350673381	6889.3682079315	3.7203941854
-58.2500000000	1.6356149192	6889.3682079315	3.7204756673
-58.2500000000	1.6361625114	6889.3682079315	3.7205556961
-58.2500000000	1.8000000000	6299.3682079315	3.7329852923
-58.2500000000	2.0000000000	5589.3682079315	3.7465249566
-58.2500000000	2.2000000000	4869.3682079315	3.7580559333
-58.2500000000	2.4000000000	4149.3682079315	3.7678161029
-58.2500000000	2.6000000000	3429.3682079315	3.7759462447
-58.2500000000	2.8000000000	2709.3682079315	3.7825811714
-58.2500000000	3.0000000000	1999.3682079315	3.7879432646
-58.2500000000	3.2000000000	1279.3682079315	3.7919570622
